report_schema_version,case_id,split,hardware_model,cpu_cores,mem_cap_gb,gpu_mode,input_scale,repeat_count,latency_s,latency_mean_s,latency_std_s,predicted_latency_s,residual_s,fitted_predicted_latency_s,fitted_residual_s,resource_config_oof_predicted_latency_s,resource_config_oof_residual_s,max_scale_holdout_predicted_latency_s,max_scale_holdout_residual_s
2,94,out_of_fold_test,cpu,8,16,off,425.000000,5,0.187987000,0.187906000,0.000169139,0.184187352,0.003799648,0.184510286,0.003476714,0.184187352,0.003799648,,
2,95,out_of_fold_test,cpu,8,16,off,510.000000,5,0.219552000,0.219509600,0.000381718,0.220940193,-0.001388193,0.221309234,-0.001757234,0.220940193,-0.001388193,0.226634623,-0.007082623
2,96,out_of_fold_test,gpu,1,2,on,85.000000,5,0.015652000,0.015602600,0.000158335,0.015088029,0.000563971,0.015035834,0.000616166,0.015088029,0.000563971,,
2,97,out_of_fold_test,gpu,1,2,on,170.000000,5,0.019853000,0.019864200,0.000068997,0.020869223,-0.001016223,0.020808233,-0.000955233,0.020869223,-0.001016223,,
2,98,out_of_fold_test,gpu,1,2,on,255.000000,5,0.023885000,0.023892000,0.000037379,0.025229705,-0.001344705,0.025163898,-0.001278898,0.025229705,-0.001344705,,
2,99,out_of_fold_test,gpu,1,2,on,340.000000,5,0.027878000,0.028035000,0.000522838,0.028865565,-0.000987565,0.028796712,-0.000918712,0.028865565,-0.000987565,,
2,100,out_of_fold_test,gpu,1,2,on,425.000000,5,0.032787000,0.032704600,0.000194402,0.032042861,0.000744139,0.031971973,0.000815027,0.032042861,0.000744139,,
2,101,out_of_fold_test,gpu,1,2,on,510.000000,5,0.036194000,0.036132200,0.000219968,0.034896827,0.001297173,0.034824558,0.001369442,0.034896827,0.001297173,0.034018655,0.002175345
2,102,out_of_fold_test,gpu,1,4,on,85.000000,5,0.015804000,0.015722800,0.000127896,0.014974297,0.000829703,0.015021520,0.000782480,0.014974297,0.000829703,,
2,103,out_of_fold_test,gpu,1,4,on,170.000000,5,0.020241000,0.020250000,0.000043850,0.020740534,-0.000499534,0.020788425,-0.000547425,0.020740534,-0.000499534,,
2,104,out_of_fold_test,gpu,1,4,on,255.000000,5,0.024067000,0.023900000,0.000254400,0.025094390,-0.001027390,0.025139943,-0.001072943,0.025094390,-0.001027390,,
2,105,out_of_fold_test,gpu,1,4,on,340.000000,5,0.028281000,0.028345400,0.000198944,0.028727210,-0.000446210,0.028769299,-0.000488299,0.028727210,-0.000446210,,
2,106,out_of_fold_test,gpu,1,4,on,425.000000,5,0.032815000,0.032870000,0.000390343,0.031903457,0.000911543,0.031941537,0.000873463,0.031903457,0.000911543,,
2,107,out_of_fold_test,gpu,1,4,on,510.000000,5,0.036226000,0.036174000,0.000326719,0.034757629,0.001468371,0.034791407,0.001434593,0.034757629,0.001468371,0.033989266,0.002236734
2,108,out_of_fold_test,gpu,1,8,on,85.000000,5,0.015596000,0.015594200,0.000115262,0.015006152,0.000589848,0.015007221,0.000588779,0.015006152,0.000589848,,
2,109,out_of_fold_test,gpu,1,8,on,170.000000,5,0.020163000,0.020235800,0.000219076,0.020774594,-0.000611594,0.020768635,-0.000605635,0.020774594,-0.000611594,,
2,110,out_of_fold_test,gpu,1,8,on,255.000000,5,0.023945000,0.023934800,0.000074174,0.025128480,-0.001183480,0.025116011,-0.001171011,0.025128480,-0.001183480,,
2,111,out_of_fold_test,gpu,1,8,on,340.000000,5,0.028097000,0.028135400,0.000377669,0.028760455,-0.000663455,0.028741912,-0.000644912,0.028760455,-0.000663455,,
2,112,out_of_fold_test,gpu,1,8,on,425.000000,5,0.032520000,0.032583400,0.000217875,0.031935399,0.000584601,0.031911130,0.000608870,0.031935399,0.000584601,,
2,113,out_of_fold_test,gpu,1,8,on,510.000000,5,0.035970000,0.035907800,0.000525764,0.034787998,0.001182002,0.034758287,0.001211713,0.034787998,0.001182002,0.033959903,0.002010097
2,114,out_of_fold_test,gpu,1,16,on,85.000000,5,0.015570000,0.015593600,0.000106028,0.014996752,0.000573248,0.014992934,0.000577066,0.014996752,0.000573248,,
2,115,out_of_fold_test,gpu,1,16,on,170.000000,5,0.020142000,0.020185600,0.000463250,0.020757589,-0.000615589,0.020748865,-0.000606865,0.020757589,-0.000615589,,
2,116,out_of_fold_test,gpu,1,16,on,255.000000,5,0.023903000,0.023877000,0.000056925,0.025105087,-0.001202087,0.025092102,-0.001189102,0.025105087,-0.001202087,,
2,117,out_of_fold_test,gpu,1,16,on,340.000000,5,0.028132000,0.028302800,0.000530402,0.028731387,-0.000599387,0.028714551,-0.000582551,0.028731387,-0.000599387,,
2,118,out_of_fold_test,gpu,1,16,on,425.000000,5,0.032710000,0.032660000,0.000156113,0.031901147,0.000808853,0.031880753,0.000829247,0.031901147,0.000808853,,
2,119,out_of_fold_test,gpu,1,16,on,510.000000,5,0.035776000,0.035814800,0.000285472,0.034748929,0.001027071,0.034725199,0.001050801,0.034748929,0.001027071,0.033930565,0.001845435
2,120,out_of_fold_test,gpu,2,2,on,85.000000,5,0.006619000,0.006605600,0.000026785,0.006319662,0.000299338,0.006334038,0.000284962,0.006319662,0.000299338,,
2,121,out_of_fold_test,gpu,2,2,on,170.000000,5,0.008599000,0.008603600,0.000041113,0.008755227,-0.000156227,0.008787010,-0.000188010,0.008755227,-0.000156227,,
2,122,out_of_fold_test,gpu,2,2,on,255.000000,5,0.010244000,0.010233000,0.000030509,0.010594553,-0.000350553,0.010641422,-0.000397422,0.010594553,-0.000350553,,
2,123,out_of_fold_test,gpu,2,2,on,340.000000,5,0.011843000,0.011848800,0.000035119,0.012129446,-0.000286446,0.012189940,-0.000346940,0.012129446,-0.000286446,,
2,124,out_of_fold_test,gpu,2,2,on,425.000000,5,0.013960000,0.013953200,0.000031745,0.013471547,0.000488453,0.013544626,0.000415374,0.013471547,0.000488453,,
